graph_id,src_id,dst_id,label,train_mask,val_mask,test_mask
0,15,89,0,True,False,False
0,89,15,0,True,False,False
0,15,121,0,True,False,False
0,121,15,0,True,False,False
0,16,15,0,True,False,False
0,15,16,0,True,False,False
0,16,132,0,True,False,False
0,132,16,0,True,False,False
0,39,140,0,True,False,False
0,140,39,0,True,False,False
0,39,80,0,True,False,False
0,80,39,0,True,False,False
0,76,39,0,True,False,False
0,39,76,0,True,False,False
0,39,23,0,True,False,False
0,23,39,0,True,False,False
0,124,39,0,True,False,False
0,39,124,0,True,False,False
0,39,17,0,True,False,False
0,17,39,0,True,False,False
0,39,24,0,True,False,False
0,24,39,0,True,False,False
0,145,39,0,True,False,False
0,39,145,0,True,False,False
0,39,114,0,True,False,False
0,114,39,0,True,False,False
0,39,106,0,True,False,False
0,106,39,0,True,False,False
0,119,39,0,True,False,False
0,39,119,0,True,False,False
0,77,102,0,True,False,False
0,102,77,0,True,False,False
0,90,77,0,True,False,False
0,77,90,0,True,False,False
0,50,38,0,True,False,False
0,38,50,0,True,False,False
0,38,105,0,True,False,False
0,105,38,0,True,False,False
0,38,97,0,True,False,False
0,97,38,0,True,False,False
0,34,38,0,True,False,False
0,38,34,0,True,False,False
0,38,8,0,True,False,False
0,8,38,0,True,False,False
0,55,38,0,True,False,False
0,38,55,0,True,False,False
0,38,122,0,True,False,False
0,122,38,0,True,False,False
0,38,33,0,True,False,False
0,33,38,0,True,False,False
0,38,102,0,True,False,False
0,102,38,0,True,False,False
0,38,26,0,True,False,False
0,26,38,0,True,False,False
0,38,136,0,True,False,False
0,136,38,0,True,False,False
0,38,74,0,True,False,False
0,74,38,0,True,False,False
0,38,4,0,True,False,False
0,4,38,0,True,False,False
0,134,78,0,True,False,False
0,78,134,0,True,False,False
0,134,140,0,True,False,False
0,140,134,0,True,False,False
0,47,134,0,True,False,False
0,134,47,0,True,False,False
0,106,134,0,True,False,False
0,134,106,0,True,False,False
0,119,134,0,True,False,False
0,134,119,0,True,False,False
0,140,70,0,True,False,False
0,70,140,0,True,False,False
0,78,140,0,True,False,False
0,140,78,0,True,False,False
0,140,80,0,True,False,False
0,80,140,0,True,False,False
0,140,18,0,True,False,False
0,18,140,0,True,False,False
0,145,140,0,True,False,False
0,140,145,0,True,False,False
0,106,140,0,True,False,False
0,140,106,0,True,False,False
0,24,80,0,True,False,False
0,80,24,0,True,False,False
0,24,133,0,True,False,False
0,133,24,0,True,False,False
