graph_id,src_id,dst_id,label,train_mask,val_mask,test_mask
0,2,3,0,True,False,False
0,3,2,0,True,False,False
0,0,2,0,True,False,False
0,2,0,0,True,False,False
0,3,1,0,True,False,False
0,1,3,0,True,False,False
0,1,5,0,True,False,False
0,5,1,0,True,False,False
0,1,9,0,True,False,False
0,9,1,0,True,False,False
0,5,4,0,True,False,False
0,4,5,0,True,False,False
0,9,4,0,True,False,False
0,4,9,0,True,False,False
0,4,7,0,True,False,False
0,7,4,0,True,False,False
0,6,3,0,True,False,False
0,3,6,0,True,False,False
0,9,7,0,True,False,False
0,7,9,0,True,False,False
0,0,6,0,False,True,False
0,6,0,0,False,True,False
0,8,0,0,False,False,True
0,0,8,0,False,False,True
0,8,6,0,False,False,True
0,6,8,0,False,False,True
